2024;AGRUPAMENTO_NATUREZA2;NATUREZA2;AREA;DEPARTAMENTO;SECCIONAL;DP;REGIAO;MUNICIPIO
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;093 DP - Jaguaré;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;013 DP - Casa Verde;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;028 DP - Freguesia do Ó;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;040 DP - Vila Santa Maria;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;031 DP - Vila Carrão;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;011 DP - Santo Amaro;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;047 DP - Capão Redondo;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;092 DP - Parque Santo Antônio;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;102 DP - Socorro;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;024 DP - Ponte Rasa;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;065 DP - Artur Alvim;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;067 DP - Jardim Robru;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;068 DP - Lajeado;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;103 DP - Cohab Itaquera;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;055 DP - Parque São Rafael;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;001 DP - Cotia;Grande São Paulo (exclui a Capital);Cotia
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;002 DP - Cotia;Grande São Paulo (exclui a Capital);Cotia
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Jandira;Grande São Paulo (exclui a Capital);Jandira
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Santana do Parnaiba;Grande São Paulo (exclui a Capital);Santana de Parnaíba
